state,city,county,median_value,median_tax
Pennsylvania,Barto,berks,239700,1.7680
Pennsylvania,Bechtelsville,berks,239700,1.7680
Pennsylvania,Bernville,berks,239700,1.7680
Pennsylvania,Bethel,berks,239700,1.7680
Pennsylvania,Birdsboro,berks,239700,1.7680
Pennsylvania,Blandon,berks,239700,1.7680
Pennsylvania,Bowers,berks,239700,1.7680
Pennsylvania,Boyertown,berks,239700,1.7680
Pennsylvania,Centerport,berks,239700,1.7680
Pennsylvania,Douglassville,berks,239700,1.7680
Pennsylvania,Earlville,berks,239700,1.7680
Pennsylvania,Elverson,chester,461800,1.3406
Pennsylvania,Fleetwood,berks,239700,1.7680
Pennsylvania,Geigertown,berks,239700,1.7680
Pennsylvania,Gilbertsville,montgomery,409900,1.4091
Pennsylvania,Hamburg,berks,239700,1.7680
Pennsylvania,Kempton,berks,239700,1.7680
Pennsylvania,Kutztown,berks,239700,1.7680
Pennsylvania,Leesport,berks,239700,1.7680
Pennsylvania,Lenhartsville,berks,239700,1.7680
Pennsylvania,Limekiln,berks,239700,1.7680
Pennsylvania,Lyon Station,berks,239700,1.7680
Pennsylvania,Maxatawny,berks,239700,1.7680
Pennsylvania,Mertztown,berks,239700,1.7680
Pennsylvania,Mohnton,berks,239700,1.7680
Pennsylvania,Mohrsville,berks,239700,1.7680
Pennsylvania,Monocacy Station,berks,239700,1.7680
Pennsylvania,Morgantown,berks,239700,1.7680
Pennsylvania,Mount Aetna,berks,239700,1.7680
Pennsylvania,New Berlinville,berks,239700,1.7680
Pennsylvania,Oley,berks,239700,1.7680
Pennsylvania,Pine Forge,berks,239700,1.7680
Pennsylvania,Port Clinton,schuylkill,140400,1.5292
Pennsylvania,Rehrersburg,berks,239700,1.7680
Pennsylvania,Robesonia,berks,239700,1.7680
Pennsylvania,Shartlesville,berks,239700,1.7680
Pennsylvania,Shoemakersville,berks,239700,1.7680
Pennsylvania,Strausstown,berks,239700,1.7680
Pennsylvania,Temple,berks,239700,1.7680
Pennsylvania,Topton,berks,239700,1.7680
Pennsylvania,Virginville,berks,239700,1.7680
Pennsylvania,Wernersville,berks,239700,1.7680
Pennsylvania,Womelsdorf,berks,239700,1.7680
Pennsylvania,Reading,berks,239700,1.7680
Delaware,Bear,new castle,329800,0.7411
Delaware,Newark,new castle,329800,0.7411
Delaware,Claymont,new castle,329800,0.7411
Delaware,Delaware City,new castle,329800,0.7411
Delaware,Hockessin,new castle,329800,0.7411
Delaware,Kirkwood,new castle,329800,0.7411
Delaware,Middletown,new castle,329800,0.7411
Delaware,Montchanin,new castle,329800,0.7411
Delaware,New Castle,new castle,329800,0.7411
Delaware,Odessa,new castle,329800,0.7411
Delaware,Port Penn,new castle,329800,0.7411
Delaware,Rockland,new castle,329800,0.7411
Delaware,Saint Georges,new castle,329800,0.7411
Delaware,Townsend,new castle,329800,0.7411
Delaware,Winterthur,new castle,329800,0.7411
Delaware,Yorklyn,new castle,329800,0.7411
Delaware,Wilmington,new castle,329800,0.7411
Delaware,Dover,kent,290600,0.4580
Delaware,Dover AFB,kent,290600,0.4580
Delaware,Bethany Beach,sussex,353300,0.3314
Delaware,Bethel,sussex,353300,0.3314
Delaware,Bridgeville,sussex,353300,0.3314
Delaware,Camden Wyoming,kent,290600,0.4580
Delaware,Cheswold,kent,290600,0.4580
Delaware,Clayton,kent,290600,0.4580
Delaware,Dagsboro,sussex,353300,0.3314
Delaware,Delmar,sussex,353300,0.3314
Delaware,Ellendale,sussex,353300,0.3314
Delaware,Felton,kent,290600,0.4580
Delaware,Fenwick Island,sussex,353300,0.3314
Delaware,Frankford,sussex,353300,0.3314
Delaware,Frederica,kent,290600,0.4580
Delaware,Georgetown,sussex,353300,0.3314
Delaware,Greenwood,sussex,353300,0.3314
Delaware,Harbeson,sussex,353300,0.3314
Delaware,Harrington,kent,290600,0.4580
Delaware,Hartly,kent,290600,0.4580
Delaware,Houston,kent,290600,0.4580
Delaware,Kenton,kent,290600,0.4580
Delaware,Laurel,sussex,353300,0.3314
Delaware,Lewes,sussex,353300,0.3314
Delaware,Lincoln,sussex,353300,0.3314
Delaware,Little Creek,kent,290600,0.4580
